"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000020839",5.93063528626595,8.50542033080162,5.63401459282276e-119,7.34675502904088e-116
"ENSMUSG00000010122",6.11723768361422,9.20856414254039,2.96254754065795e-112,1.93158099650899e-109
"ENSMUSG00000020681",6.09589779110023,13.5522596078846,2.85137251417927e-91,1.23939658616325e-88
"ENSMUSG00000025161",3.91865871805951,7.89483876797552,1.65169860016477e-79,5.38453743653716e-77
"ENSMUSG00000020774",5.39924125188049,9.26106548552073,8.35161674534397e-79,2.17810164718571e-76
"ENSMUSG00000036216",6.60119728609596,9.24294799898924,1.85832343847961e-78,4.03875627296235e-76
"ENSMUSG00000025137",3.07105384463817,12.6170303546579,3.97747515081787e-73,7.40946799523786e-71
"ENSMUSG00000017639",3.55803969647501,7.01460253131227,3.83387587001215e-72,6.24921766811981e-70
"ENSMUSG00000020334",3.73910819859178,8.48989383813389,5.59424863058642e-70,8.10544468253855e-68
"ENSMUSG00000034427",3.45334501556757,14.0279908364132,2.29804828203141e-69,2.72423178160814e-67
